style_cd,style_category,style_description,diamond_wt,metal_typ,metal_wt,metal_amt,diamond_qty,diamond_qlty,total_diamond_wt,cstone_qty,cstone_wt,cstone_shape,metal_color,metal_size,gender,ring_type,chain_type,is_set,combined_text,earring_type,stud_subtype,setting,diameter,hoop_subtype,collection,image_url,original_row_count,hash,visual_id,unsure,source
BG205314KW-BN,BANGLE,2 CTW GRADUATING DIA BANGLE,2,14KT,11.8,953.44,25,H I1,2,0,0,,W,0,LADIES,,,FALSE,2 CTW GRADUATING DIA BANGLE,,,,,,,https://aneri-jewels-clean-images.s3.amazonaws.com/final_clean/bangles/BG205314KW-BN.jpg,1,,bangles/BG205314KW-BN.jpg,FALSE,SUMIT
BG205410KY-ZA-S,BANGLE,3/4 CTW SQUIGGLE JOURNEY PAUSE BANGLE DK,0.753,10KT,9.64,428.98,16,II2I3,0.753,0,0,,Y,0,LADIES,,,FALSE,3/4 CTW SQUIGGLE JOURNEY PAUSE BANGLE DK,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG205410KY-ZA-S.jpg,2,,,TRUE,SUMIT
BG205710KY-ZA-S,BANGLE,4 3/4 CTW CUFF BANGLE,4.8,10KT,71.66,3284.89,600,,4.8,0,0,,Y,7.25,LADIES,,,FALSE,4 3/4 CTW CUFF BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG205710KY-ZA-S.jpg,1,,,TRUE,SUMIT
BG205810KY-ZA-S,BANGLE,WW - 3 CTW CUFF BANGLE,3.006,10KT,24.51,1123.54,378,,3.006,0,0,,Y,0,LADIES,,,FALSE,WW - 3 CTW CUFF BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG205810KY-ZA-S.jpg,3,,,TRUE,SUMIT
BG2062SS-STK-S,BANGLE,1/10 CTW CENTER HEART CUF BANGLE IR,0.1,SILV,4.05,4.58,20,II3,0.1,0,0,,W,0,LADIES,,,FALSE,1/10 CTW CENTER HEART CUF BANGLE IR,,,,,,,https://aneri-jewels-clean-images.s3.amazonaws.com/final_clean/bangles/BG2062SS-STK-S.jpg,5,,bangles/BG2062SS-STK-S.jpg,FALSE,SUMIT
BG2063SS-STK-S,BANGLE,1/10 CTW CENTER HEART CUF BANGLE IR,0.106,SILV,3.92,5.1,27,II3,0.106,0,0,,W,0,LADIES,,,FALSE,1/10 CTW CENTER HEART CUF BANGLE IR,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG2063SS-STK-S.jpg,3,,,TRUE,SUMIT
BG206414KW-DF,BANGLE,1/5 CTW DOUBLE HEART CUF BANGLE,0.2,14KT,1.96,142.94,40,HII2,0.2,0,0,,W,6.9,LADIES,,,FALSE,1/5 CTW DOUBLE HEART CUF BANGLE,,,,,,,https://aneri-jewels-clean-images.s3.amazonaws.com/final_clean/bangles/BG206414KW-DF.jpg,7,,bangles/BG206414KW-DF.jpg,FALSE,SUMIT
BG206510KY-STK,BANGLE,1/16 CTW CUFF BANGLE KL,0.0776,10KT,0.5,22.92,6,II2I3,0.0776,0,0,,Y,6.5,LADIES,,,FALSE,1/16 CTW CUFF BANGLE KL,,,,,,,https://aneri-jewels-clean-images.s3.amazonaws.com/final_clean/bangles/BG206510KY-STK.jpg,7,,bangles/BG206510KY-STK.jpg,FALSE,SUMIT
BG206614KY-42,BANGLE,1/16 CTW BAZEL CUFF BANGLE,0.08,14KT,0.7,51.05,2,I I1,0.08,0,0,,Y,6.5,LADIES,,,FALSE,1/16 CTW BAZEL CUFF BANGLE,,,,,,,https://aneri-jewels-clean-images.s3.amazonaws.com/final_clean/bangles/BG206614KY-42.jpg,7,,bangles/BG206614KY-42.jpg,FALSE,SUMIT
BG206710KY-STK,BANGLE,1/10 CTW CUFF BANGLE KL,0.1033,10KT,0.95,43.55,2,II2I3,0.1033,0,0,,Y,6.5,LADIES,,,FALSE,1/10 CTW CUFF BANGLE KL,,,,,,,https://aneri-jewels-clean-images.s3.amazonaws.com/final_clean/bangles/BG206710KY-STK.jpg,9,a2ee951d7bc0066e,a2ee951d7bc0066e,FALSE,SUMIT
